,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,David Robinson,29,SAS,73.0,901.0,1050,0.858,81,38.0,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
1,2,Shaquille O'Neal,22,ORL,12.0,605.0,1050,0.5760000000000001,79,37.0,29.3,11.4,2.7,0.9,2.4,0.583,0.0,0.5329999999999999,14.0,0.23
2,3,Karl Malone,31,UTA,14.0,532.0,1050,0.507,82,38.1,26.7,10.6,3.5,1.6,1.0,0.536,0.268,0.742,13.8,0.212
3,4,Patrick Ewing,32,NYK,2.0,230.0,1050,0.21899999999999997,79,37.0,23.9,11.0,2.7,0.9,2.0,0.503,0.28600000000000003,0.75,9.6,0.157
4,5,Hakeem Olajuwon,32,HOU,1.0,147.0,1050,0.14,72,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.7559999999999999,10.7,0.18100000000000002
5,6,Charles Barkley,31,PHO,1.0,96.0,1050,0.091,68,35.0,23.0,11.1,4.1,1.6,0.7,0.486,0.33799999999999997,0.748,10.6,0.214
6,7,Scottie Pippen,29,CHI,1.0,83.0,1050,0.079,79,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188
7,8,John Stockton,32,UTA,1.0,47.0,1050,0.045,82,35.0,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233
8,9,Gary Payton,26,SEA,0.0,34.0,1050,0.032,82,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187
9,10,Anfernee Hardaway,23,ORL,0.0,23.0,1050,0.022000000000000002,77,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177
10,11,Michael Jordan,31,CHI,0.0,12.0,1050,0.011000000000000001,17,39.3,26.9,6.9,5.3,1.8,0.8,0.41100000000000003,0.5,0.8009999999999999,2.3,0.16699999999999998
11,12,Dennis Rodman,33,SAS,0.0,9.0,1050,0.009000000000000001,49,32.0,7.1,16.8,2.0,0.6,0.5,0.5710000000000001,0.0,0.6759999999999999,5.8,0.17800000000000002
12,13,Jason Kidd,21,DAL,0.0,7.0,1050,0.006999999999999999,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066
13,14,Clyde Drexler,32,TOT,0.0,3.0,1050,0.003,76,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.8240000000000001,11.7,0.20600000000000002
14,15,Cedric Ceballos,25,LAL,0.0,1.0,1050,0.001,58,35.0,21.7,8.0,1.8,1.0,0.3,0.509,0.397,0.716,5.2,0.12300000000000001
